drop
0
0.046
0.015
0
0
0
0
0
0
0
0.015
0.015
0
0
0.015
0.015
0
0.015
0
0.031
0.015
0.046
0.12
0
0.031
0.031
0.031
0.015
0.046
0.015
0.015
0.015
0.046
0.031
0.061
0
0
0.031
0.015
0.061
0.15
0.11
0.092
0.14
0.091
0.12
0.092
0.015
0.12
0.092
0.046
0.076
0.11
0.11
0.092
0.092
0.12
0.11
0.15
0.076
0.015
0.015
0
0
0
0
0.015
0.015
0.015
0.046
0.031
0.031
0.015
0
0
0
0.015
0
0
0.015
0.015
0.015
0.015
0
0.015
0
0
0.015
0.015
0.015
0
0.046
0
0.015
0
0.015
0.015
0.015
0.015
0.015
0.061
0.061
0.046
0.046
0.015
0.03
0.015
0.015
0.046
0.11
0.036
0.046
0.046
0.031
0.031
0.092
0.015
0.076
0.061
0.076
0
0.015
0
0.015
0
0.015
0
0.015
0
0
0
0.015
0.015
0.015
0.046
0
0
0.015
0.015
0.015
0.031
0.092
0
0.061
0.061
0.031
0.031
0.015
0.015
0.046
0.046
0.015
0.061
0.03
0.031
0.031
0
0.015
0.076
0.031
0.015
0.015
0.031
0
0.015
0
0
0.015
0
0
0
0
0
0.031
0.031
0
0
0.015
0
0.061
0.031
0.12
0.031
0.14
0.092
0.051
0.061
0.076
0.18
0.061
0.092
0.076
0.092
0.14
0.11
0.046
0.17
0.046
0.17
0.076
0
0.015
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.015
0
0
0.015
0.015
0
0.031
0
0
0.03
0.015
0.015
0.015
0
0.046
0.015
0.015
0.015
0
0.015
0
0
0.046
0.092
0.14
0.11
0.2
0.11
0.092
0.12
0.12
0.11
0.2
0.076
0.15
0.092
0.11
0.12
0.092
0.061
0.031
0.12
0.031
0
0.015
0.015
0.015
0.015
0.03
0
0
0
0.015
0
0.015
0.015
0.015
0
0
0
0
0
0.015
0
0
0
0
0.015
0
0
0
0
0.015
0
0
0
0
0
0
0
0
0
0.031
0.046
0.046
0.031
0.061
0.092
0.061
0.061
0
0.092
0
0.061
0.031
0.015
0.031
0.061
0.092
0.061
0.046
0.015
0.046
0.015
0.015
0.03
0.046
0.031
0.015
0.031
0.031
0
0.046
0.015
0.015
0.061
0
0
0.046
0
0.046
0.046
0.092
0.15
0.061
0.076
0.061
0.091
0.046
0.031
0.12
0.18
0.15
0.18
0.11
0.092
0.061
0.15
0.076
0.046
0.11
0.092
0.11
0
0.015
0.031
0.015
0
0.031
0
0.015
0
0
0.031
0
0.031
0
0.015
0
0.015
0
0
0.015
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.046
0.11
0.092
0.12
0.046
0.15
0.076
0.14
0.015
0.091
0.14
0.076
0.17
0.17
0.15
0.046
0.15
0.14
0.12
0.11
0.14
0.031
0.015
0
0
0
0
0.03
0
0.031
0
0
0
0
0
0
0.031
0
0
0
0
0.17
0.12
0.061
0.14
0.061
0.061
0.076
0.046
0.091
0.14
0.12
0.061
0.14
0.061
0.18
0.15
0.092
0.12
0.046
0
0
0
0.031
0
0
0
0
0
0
0
0
0
0
0.015
0
0
0
0
0.015
0
0.076
0.092
0.015
0.015
0.076
0.061
0.031
0.092
0.076
0.046
0.076
0.076
0.046
0.031
0.046
0.031
0.092
0.076
0.092
0.14
0.18
0.092
0.27
0.2
0.18
0.23
0.17
0.23
0.17
0.27
0.29
0.21
0.17
0.15
0.15
0.21
0.29
0.17
0.12
0.17
0
0
0
0
0.015
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.046
0
0.015
0
0
0
0
0
0
0.015
0
0.015
0
0.031
0.046
0
0.015
0
0
0.061
0.12
0.17
0.076
0.11
0.14
0.061
0.11
0.031
0.092
0.11
0.18
0.11
0.14
0.11
0.12
0.092
0.092
0.11
0.12
0.061
0.015
0.015
0
0
0
0
0
0.015
0.031
